,perovskite_composition,passivating_molecule
6261,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,hexyltrimethylammonium bromide
6262,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,LiF
6263,formamidinium-based,none
6264,formamidinium lead iodide,NaF
6265,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,EDAI2
6266,formamidinium lead iodide (FAPbI3),CF3PEAI
6267,Cs0.05MA0.05FA0.90PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
6268,Cs0.05(MA0.1FA0.85)PbI3,piperazinium iodide
6269,FA0.83MA0.17PbI3,formamidinium formate
6270,FA0.85MA0.1Cs0.05PbI2.9Br0.1,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
6271,formamidinium lead triiodide (FAPbI3),4-fluoroaniline
6272,Cs0.05MA0.05FA0.90PbI3,"1,3-propane diammonium iodide"
6273,3D/0D perovskite,2-aminoindan hydrochloride
6274,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
6275,Cs0.05FA0.9MA0.05PbI2.74Br0.26,(BA)2PbI4
6276,(FAPbI3)0.97(MAPbBr3)0.03,Cl-cPP and Cl-bSO
6277,FAPbI3:0.95MAPbBr3:0.05,CsMAFA-8
6278,"MAPbCl3, MAPbBr3, MAPbI3",4-ethyl-1H-pyrrole-2-carboxylic acid
6279,phase-pure quantum wells,2-(9H-carbazol-9-yl)ethyl phosphonic acid
6280,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,"1,3-propane diammonium iodide"
6281,FA0.83MA0.17Pb(I0.6Br0.4)3,4-ethyl-1H-pyrrole-2-carboxylic acid
6282,formamidinium-based,n-hexylammonium bromide and n-octylammonium bromide
6283,FA0.85Cs0.15PbI2.85I3,poly(4-vinylpyridine)
6284,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,PEA2ZnX4
6285,formamidinium lead iodide (FAPbI3),mixed cations of MDA and Cs
6286,formamidinium lead triiodide (FAPbI3),PSP
6287,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,n-butylamine acetate
6288,FA0.83Cs0.17PbI3,NaF
6289,Cs0.05FA0.81MA0.14PbI2.55Br0.45,4-guanidinobenzoic acid hydrochloride (GBAC)
6290,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,azetidinium iodide
6291,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),octylammonium iodide
6292,3D/CLP/2D perovskite heterostructure,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
6293,Cs0.17FA0.83Pb(I0.6Br0.4)3,AZO/SnOx
6294,formamidinium lead iodide,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
6295,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,anisole
6296,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,EDTA
6297,FA0.98Cs0.02PbI3,none
6298,MAPbI3,n-hexyl trimethyl ammonium bromide
6299,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,"1,3-propane diammonium iodide"
6300,Cs0.05FA0.9MA0.05PbI2.74Br0.26,(PbI2)2RbCl
6301,Cs0.05FA0.95PbI3,4-fluoroaniline
6302,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,4-chlorophenylethylammonium iodide
6303,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,sulfonyl fluoride-functionalized phenethylammonium salt
6304,Cs0.05FA0.9MA0.05PbI2.74Br0.26,pentanamidine hydrochloride
6305,FA0.15MA0.85PbI3,piperazinium iodide
6306,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,poly(methyl methacrylate)
6307,3D/CLP/2D perovskite heterostructure,NH4Cl
6308,FA1-xMAxPbI3Br0.13,FA0.83Cs0.17Pb0.5Sn0.5I3
6309,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),Spiro-mF
6310,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,4-fluoroaniline
6311,FA1-xMAxPbI3Br0.13,Al2O3
6312,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,PEA2ZnX4
6313,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
6314,Cs0.05(MA0.1FA0.85PbI3)3,CF3PEAI2D
6315,formamidinium lead iodide,Cl-cPP and Cl-bSO
6316,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),PDAI2 and 3MTPAI
6317,Cs0.05FA0.95PbI3,PSP
6318,(FAPbI3)1-x(MC)x,butylamine
6319,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,4-tert-butyl-benzylammonium iodide
6320,Cs0.2FA0.8Pb(I0.6Br0.4)3,4-vinylbenzylamine
6321,Cs0.05FA0.9MA0.05PbI2.74Br0.26,2-aminoindan hydrochloride
6322,FA0.95Cs0.05PbI3,4-chlorophenylethylammonium iodide
6323,CsPbI3-xBrx,NaF
6324,Cs0.17FA0.83Pb(I0.6Br0.4)3,phenylethylammonium iodide
6325,FA0.83Cs0.17Pb0.5Sn0.5I3,hexyltrimethylammonium bromide
6326,FA0.85MA0.15PbI3,ortho-(phenylene)di(ethylammonium) iodide
6327,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),CsMAFA-8
6328,FA0.83Cs0.17Pb0.5Sn0.5I3,LiF
6329,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,allylammonium
6330,MA0.7FA0.3PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6331,CsFAMAPbI3,NH4Cl
6332,FA0.83MA0.17PbI3,Choline chloride
6333,FAPbI3,2-aminoindan hydrochloride
6334,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6335,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),"b-poly(1,1-difluoroethylene) (b-pV2F)"
6336,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,(PbI2)2RbCl
6337,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,TiOxNy
6338,Cs0.05MA0.05FA0.90PbI3,2D perovskite
6339,formamidinium lead iodide (FAPbI3),NaF
6340,Cs0.1FA0.9PbI3,cross-linked polymer (CLP)
6341,FA1-xMAxPbI3Br0.13,n-butylamine acetate
6342,formamidinium-based,formamidinium
6343,formamidinium lead iodide (FAI) based compound,CB-NH2
6344,formamidinium lead triiodide (FAPbI3),4-vinylbenzylamine
6345,Cs0.15FA0.85PbI2.55Br0.45,ferrocenyl-bis-thiophene-2-carboxylate
6346,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),octylammonium iodide
6347,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,2D perovskite
6348,Cs0.05FA0.81MA0.14PbI2.55Br0.45,Al2O3
6349,FA1-xMAxPbI3Br0.13,anisole
6350,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,oxalic acid
6351,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,4-vinylbenzylamine
6352,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,4-chlorophenylethylammonium iodide
6353,Cs0.15FA0.85MA0.1PbI2.55Br0.45,Oleylammonium iodide
6354,FA0.8Cs0.2Pb(I0.7Br0.3)3,butylamine
6355,FA0.95MA0.05Pb(I0.92Br0.08)3,4-trifluoromethyl-phenylammonium
6356,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,NH4Cl
6357,(FAPbI3)0.95(MAPbBr3)0.05,ortho-(phenylene)di(ethylammonium) iodide
6358,FA0.8Cs0.2Pb(I0.7Br0.3)3,poly(4-vinylpyridine)
6359,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,4-ethyl-1H-pyrrole-2-carboxylic acid
6360,Cs0.05MA0.05FA0.90PbI3,methylamine
6361,Cs0.17FA0.83Pb(I0.6Br0.4)3,sodium thioglycolate
6362,formamidinium lead iodide (FAI) based compound,allylammonium (ALA)
6363,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),Spiro-mF
6364,FA1-xMAxPbI3Br0.13,"N,N-dimethyl-1,3-propane diammonium diiodide"
6365,Cs0.15FA0.85PbI2.55Br0.45,lead sulfate
6366,Cs0.15FA0.85MA0.05PbI3,4-chlorophenylethylammonium iodide
6367,FA0.83Cs0.17PbI3,allylammonium
6368,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,phenethylammonium iodide (PEAI)
6369,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),CF3PEAI
6370,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,methylamine
6371,Cs0.05MA0.05FA0.90PbI3,DTB(3%DEG)
6372,Cs0.15FA0.85PbI2.55Br0.45,2-TMAI
6373,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,Chlorine-capped TiO2
6374,Cs0.05FA0.95PbI3,4-vinylbenzylamine
6375,FA0.98Cs0.02PbI3,formamidinium
6376,Cs0.17FA0.83Pb(I0.6Br0.4)3,2CF3-phenethylammonium iodide
6377,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,methylammonium chloride
6378,FA0.83Cs0.17Pb0.5Sn0.5I3,4-fluoroaniline
6379,Cs0.05FA0.9MA0.05PbI2.74Br0.26,none
6380,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,DTB(3%DEG)
6381,Cs0.05FA0.81MA0.14PbI2.55Br0.45,n-butylamine acetate
6382,FAPbI3:0.95MAPbBr3:0.05,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6383,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,4-vinylbenzylamine
6384,Cs0.12FA0.8MA0.08PbI1.8Br1.2,4-chlorophenylethylammonium iodide
6385,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),CsMAFA-8
6386,Cs0.05FA0.81MA0.14PbI2.55Br0.45,anisole
6387,FA(MA)PbI3,CB-NH2
6388,3D/0D perovskite,formamidinium formate
6389,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),mixed cations of MDA and Cs
6390,(FAPbI3)0.97(MAPbBr3)0.03,octylammonium iodide
6391,FA0.8Cs0.2Pb0.5Sn0.5I3,azetidinium iodide
6392,FA0.83Cs0.17Pb0.5Sn0.5I3,PSP
6393,Cs0.1FA0.9PbI3,TiOxNy
6394,FA0.83MA0.17PbI3,CF3PEAI2D
6395,formamidinium lead iodide (FAI) based compound,3F-PEA
6396,Cs0.15FA0.85PbI2.55Br0.45,4-trifluoromethyl-phenylammonium
6397,3D/CLP/2D perovskite heterostructure,(BA)2PbI4
6398,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,phenethylammonium iodide
6399,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,ortho-(phenylene)di(ethylammonium) iodide
6400,(FAPbI3)1-x(MC)x,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
6401,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,methylammonium chloride
6402,CsPbI3-xBrx,allylammonium
6403,Cs0.05MA0.05FA0.90PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
6404,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"N,N-dimethyl-1,3-propane diammonium diiodide"
6405,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,4-fluoroaniline
6406,FA(MA)PbI3,allylammonium (ALA)
6407,(FAPbI3)1-x(MC)x,"1,3-propane diammonium iodide"
6408,(FAPbI3)0.97(MAPbBr3)0.03,Spiro-mF
6409,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,CB-NH2
6410,"MAPbCl3, MAPbBr3, MAPbI3",phenylethylammonium iodide
6411,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
6412,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,hexyltrimethylammonium bromide
6413,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,azetidinium iodide
6414,FA0.83MA0.17Pb(I0.6Br0.4)3,phenylethylammonium iodide
6415,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,none
6416,MA0.7FA0.3PbI3,Oleylammonium iodide
6417,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,Chlorine-capped TiO2
6418,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,Oleylammonium iodide
6419,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,PSP
6420,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6421,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,TiOxNy
6422,PEA2(CH3NH3)2Pb2I7,CB-NH2
6423,formamidinium-based,Cs2PbI2Cl2
6424,3D/CLP/2D perovskite heterostructure,(PbI2)2RbCl
6425,formamidinium lead iodide (FAPbI3),allylammonium
6426,formamidinium lead iodide,octylammonium iodide
6427,CsFAMAPbI3,(BA)2PbI4
6428,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,benzylhydrazine (BHC)
6429,3D/CLP/2D perovskite heterostructure,pentanamidine hydrochloride
6430,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,phenethylammonium iodide (PEAI)
6431,3D/0D perovskite,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6432,(FAPbI3)0.97(MAPbBr3)0.03,CsMAFA-8
6433,formamidinium lead iodide (FAPbI3),cross-linked polymer (CLP)
6434,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,allylammonium (ALA)
6435,FA0.9Cs0.1PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
6436,FA0.9Cs0.1PbI3,poly(methyl methacrylate)
6437,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6438,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,isopropylammonium chloride
6439,CH3NH3PbI3,4-ethyl-1H-pyrrole-2-carboxylic acid
6440,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,n-hexylammonium bromide and n-octylammonium bromide
6441,FA(MA)PbI3,3F-PEA
6442,3D/0D perovskite,benzylhydrazine (BHC)
6443,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,phenethylammonium iodide (PEAI)
6444,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,"PEAI, Cl-PEAI, F-PEAI"
6445,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,PEA2ZnX4
6446,3D/0D perovskite,isopropylammonium chloride
6447,PEA2(CH3NH3)2Pb2I7,allylammonium (ALA)
6448,formamidinium lead iodide,Spiro-mF
6449,3D/CLP/2D perovskite heterostructure,2-aminoindan hydrochloride
6450,FA(MA)PbI3,4-vinylbenzylammonium bromide
6451,Cs0.2FA0.8Pb(I0.6Br0.4)3,NH4Cl
6452,FA0.8Cs0.2Pb(I0.7Br0.3)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
6453,formamidinium-based,CF3PEAI2D
6454,MAPbI3,4-chlorophenylethylammonium iodide
6455,FA-based mixed perovskites,lead sulfate
6456,FA0.85MA0.1Cs0.05PbI2.9Br0.1,ortho-(phenylene)di(ethylammonium) iodide
6457,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,sulfonyl fluoride-functionalized phenethylammonium salt
6458,FAPbI3,formamidinium formate
6459,FA0.8Cs0.2Pb(I0.7Br0.3)3,"1,3-propane diammonium iodide"
6460,FA0.83Cs0.17Pb0.5Sn0.5I3,4-vinylbenzylamine
6461,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,FA0.83Cs0.17Pb0.5Sn0.5I3
6462,MA0.07FA0.93PbI3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
6463,"MAPbCl3, MAPbBr3, MAPbI3",sodium thioglycolate
6464,3D/0D perovskite,Choline chloride
6465,FA-based mixed perovskites,2-TMAI
6466,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,NaF
6467,FA0.95MA0.05Pb(I0.92Br0.08)3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
6468,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,3F-PEA
6469,Cs0.15FA0.85MA0.1PbI2.55Br0.45,hexyltrimethylammonium bromide
6470,Cs0.1FA0.9PbI2.55Br0.45,CsMAFA-8
6471,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,n-hexylammonium bromide and n-octylammonium bromide
6472,formamidinium lead iodide,CsMAFA-8
6473,FA0.85Cs0.15PbI2.85I3,methylamine
6474,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,4-fluoroaniline
6475,Cs0.15FA0.85MA0.1PbI2.55Br0.45,LiF
6476,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,AZO/SnOx
6477,"MAPbCl3, MAPbBr3, MAPbI3",2CF3-phenethylammonium iodide
6478,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,4-vinylbenzylammonium bromide
6479,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
6480,FA0.83MA0.17Pb(I0.6Br0.4)3,2CF3-phenethylammonium iodide
6481,FAPbI3:0.95MAPbBr3:0.05,Oleylammonium iodide
6482,PEA2(CH3NH3)2Pb2I7,3F-PEA
6483,CsFAMAPbI3,2-aminoindan hydrochloride
6484,FA0.85MA0.15PbI3,PDAI2 and 3MTPAI
6485,Cs0.05(MA0.1FA0.85PbI3)3,EDTA
6486,formamidinium lead triiodide (FAPbI3),NH4Cl
6487,PEA2(CH3NH3)2Pb2I7,4-vinylbenzylammonium bromide
6488,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,PSP
6489,FA-based mixed perovskites,4-trifluoromethyl-phenylammonium
6490,formamidinium lead iodide (FAI) based compound,benzene
6491,FA0.98Cs0.02PbI3,CF3PEAI2D
6492,Cs0.17FA0.83Pb(I0.6Br0.4)3,phenethylammonium iodide
6493,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,NH4Cl
6494,FA0.9Cs0.1PbI3,n-butylammonium bromide (BABr)
6495,MA0.07FA0.93PbI3,CF3PEAI
6496,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,4-ethyl-1H-pyrrole-2-carboxylic acid
6497,formamidinium lead iodide (FAPbI3),4-guanidinobenzoic acid hydrochloride (GBAC)
6498,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,n-butylamine acetate
6499,FAPbI3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6500,FA0.83Cs0.17PbI3,FA0.83Cs0.17Pb0.5Sn0.5I3
6501,Cs0.17FA0.83Pb(I0.6Br0.4)3,cyclohexylmethylammonium iodide
6502,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6503,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,n-butylammonium bromide (BABr)
6504,FA0.85Cs0.15PbI2.85I3,piperazinium iodide
6505,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,formamidinium
6506,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,anisole
6507,Cs0.15FA0.85PbI2.55Br0.45,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
6508,FAPbI3,benzylhydrazine (BHC)
6509,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,2-aminoindan hydrochloride
6510,3D/CLP/2D perovskite heterostructure,none
6511,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
6512,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,n-butylammonium bromide (BABr)
6513,Cs0.05FA0.95PbI3,NH4Cl
6514,phase-pure quantum wells,"b-poly(1,1-difluoroethylene) (b-pV2F)"
6515,MA0.07FA0.93PbI3,mixed cations of MDA and Cs
6516,(FAPbI3)0.95(MAPbBr3)0.05,PDAI2 and 3MTPAI
6517,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,sulfonyl fluoride-functionalized phenethylammonium salt
6518,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,poly(methyl methacrylate)
6519,MAPbI3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
6520,(FAPbI3)1-x(MC)x,DTB(3%DEG)
6521,Cs0.15FA0.85MA0.1PbI2.55Br0.45,4-fluoroaniline
6522,Cs0.05(MA0.1FA0.85PbI3)3,hexafluorobenzene
6523,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,NH4Cl
6524,FA0.95Cs0.05PbI3,n-butylammonium bromide (BABr)
6525,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
6526,FAPbI3,Choline chloride
6527,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,piperazinium iodide
6528,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),Oleylammonium iodide
6529,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,"PEAI, Cl-PEAI, F-PEAI"
6530,FA(MA)PbI3,benzene
6531,FA0.8Cs0.2Pb(I0.7Br0.3)3,2D perovskite
6532,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,formamidinium
6533,CsPbI3-xBrx,FA0.83Cs0.17Pb0.5Sn0.5I3
6534,FA0.83Cs0.17PbI3,n-butylamine acetate
6535,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
6536,FA0.82Cs0.13MA0.05PbI3,Chlorine-capped TiO2
6537,(FAPbI3)0.97(MAPbBr3)0.03,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6538,FA0.83Cs0.17PbI3,anisole
6539,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,methylammonium chloride
6540,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),cross-linked polymer (CLP)
6541,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,lead sulfate
6542,3D/0D perovskite,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
6543,formamidinium lead iodide (FAI) based compound,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
6544,formamidinium-based,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
6545,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,allylammonium
6546,Cs0.2FA0.8Pb(I0.6Br0.4)3,(BA)2PbI4
6547,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,sodium thioglycolate
6548,phase-pure quantum wells,CF3PEAI
6549,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,phenethylammonium iodide (PEAI)
6550,(FAPbI3)1-x(MC)x,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
6551,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,2-TMAI
6552,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,methylammonium chloride
6553,Cs0.05(MA0.1FA0.85PbI3)3,4-ethyl-1H-pyrrole-2-carboxylic acid
6554,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,LiF
6555,FA0.82Cs0.13MA0.05PbI3,isopropylammonium chloride
6556,MA0.7FA0.3PbI3,n-hexyl trimethyl ammonium bromide
6557,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,poly(methyl methacrylate)
6558,FA0.8Cs0.2Pb(I0.7Br0.3)3,methylamine
6559,formamidinium lead iodide (FAPbI3),FA0.83Cs0.17Pb0.5Sn0.5I3
6560,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),formamidinium lead iodide (FAPbI3)
6561,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,Cl-cPP and Cl-bSO
6562,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,n-hexyl trimethyl ammonium bromide
6563,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,2-(9H-carbazol-9-yl)ethyl phosphonic acid
6564,formamidinium lead iodide (FAPbI3),Al2O3
6565,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,n-butylammonium bromide (BABr)
6566,FAMAPbI3 and MAPbI3 layers (two-step method),AZO/SnOx
6567,FA0.85MA0.15PbI3,mixed cations of MDA and Cs
6568,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,ZrL3
6569,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,2CF3-phenethylammonium iodide
6570,FA0.83Cs0.17PbI3,"N,N-dimethyl-1,3-propane diammonium diiodide"
6571,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,sulfonyl fluoride-functionalized phenethylammonium salt
6572,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,poly(methyl methacrylate)
6573,FA0.8Cs0.2Pb(I0.7Br0.3)3,DTB(3%DEG)
6574,FA0.95Cs0.05PbI3,methylammonium chloride
6575,FA0.83MA0.17PbI3,EDTA
6576,3D/0D perovskite,Cl-cPP and Cl-bSO
6577,Cs0.15FA0.85MA0.05PbI3,n-butylammonium bromide (BABr)
6578,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,n-butylammonium bromide (BABr)
6579,3D/CLP/2D perovskite heterostructure,formamidinium formate
6580,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,formamidine acetate
6581,Cs0.05FA0.9MA0.05PbI2.74Br0.26,CF3PEAI2D
